Phenotype,CD66b,CD294,CD123,HLA-DR,CD11c,CD14,CD38,CD56,CD57,CD45RA,CD19,CD20,CD27,IgD,CD3,TCRgd,CD4,CD8a,CD161,CD28,CD197,CD185,CD25,CD127,CD183,CD196
Neutrophils,hi,lo,,,,,,,,,,,,,,,,,,,,,,,,
Eosinophils,hi,hi,,,,,,,,,lo,,,,lo,,,,,,,,,,,
Basophils,lo,hi,hi,lo,,,hi,,,,,,,,,,,,,,,,,,,
pDCs,lo,lo,hi,,lo,lo,,,,,lo,lo,,,lo,,,,,,,,,,,
mDCs,lo,lo,lo,,hi,lo,hi,,,,lo,lo,,,lo,,,,,,,,,,,
CMonocyte,lo,,,,hi,hi,hi,lo,,,lo,,,,lo,,,,,,,,,,,
NCMonocyte,lo,,,,hi,lo,lo,lo,,,lo,,,,lo,,,,,,,,,,,
Nkcells_early,lo,,lo,,,lo,,hi,lo,hi,,,,,lo,,,,,,,,,,,
Nkcells_late,lo,,lo,,,lo,,hi,hi,hi,,,,,lo,,,,,,,,,,,
Bcells_PB,,,,,,lo,hi,lo,,,hi,lo,hi,,lo,,,,,,,,,,,
Bcells_Naive,,,,hi,,lo,,lo,,,hi,hi,lo,hi,lo,,,,,,,,,,,
Bcells_postswitch,,,,hi,,lo,,lo,,,hi,hi,hi,lo,lo,,,,,,,,,,,
Bcells_preswitch,,,,hi,,lo,,lo,,,hi,hi,hi,hi,lo,,,,,,,,,,,
Bcells_CD27negIgDneg,,,,hi,,lo,,lo,,,hi,hi,lo,lo,lo,,,,,,,,,,,
gdTcells,lo,,,,,lo,,,,,,,,,hi,hi,lo,,,,,,,,,
MAIT_NKTcells,lo,,,,,lo,,,,,,,,,hi,lo,lo,,hi,hi,,,,,,
CD8Tcells_Mem,lo,,lo,,lo,lo,,,,,lo,,,,hi,lo,lo,hi,lo,,,,,,,
CD8Tcells_Naive,lo,,lo,,lo,lo,,,,hi,lo,,hi,,hi,lo,lo,hi,lo,,hi,,,,,
CD4Tcells_Other,lo,,,,lo,lo,,,,,,,,,hi,lo,hi,lo,,,,,,,,
CD4Tcells_Tfh,lo,,,,lo,lo,,,,lo,,,,,hi,lo,hi,lo,,,,hi,,,,
CD4Tcells_Th1,lo,,,,lo,lo,,,,,,,,,hi,lo,hi,lo,,,,lo,,,hi,lo
CD4Tcells_Th2,lo,,,,lo,lo,,,,,,,,,hi,lo,hi,lo,,,,lo,,,lo,lo
CD4Tcells_Th17,lo,,,,lo,lo,,,,,,,,,hi,lo,hi,lo,,,,lo,,,lo,hi
CD4Tcells_Th1Th17,lo,,,,lo,lo,,,,,,,,,hi,lo,hi,lo,,,,lo,,,hi,hi
CD4Tcells_Treg,lo,,,,lo,lo,,,,,,,,,hi,lo,hi,lo,,,,,hi,lo,,
CD4Tcells_Naive,lo,,,,lo,lo,,,,hi,,,hi,,hi,lo,hi,lo,,,hi,,,,,
Tcells_CD4negCD8neg,lo,lo,lo,,lo,lo,,,,,lo,,,,hi,lo,lo,lo,,,,,,,,
gdTcells_act,lo,,,hi,,lo,hi,,,,,,,,hi,hi,lo,,,,,,,,,
MAIT_NKTcells_act,lo,,,hi,,lo,hi,,,,,,,,hi,lo,lo,,hi,hi,,,,,,
CD8Tcells_Mem_act,lo,,lo,hi,lo,lo,hi,,,,lo,,,,hi,lo,lo,hi,lo,,,,,,,
CD8Tcells_Naive_act,lo,,lo,hi,lo,lo,hi,,,hi,lo,,hi,,hi,lo,lo,hi,lo,,hi,,,,,
CD4Tcells_Other_act,lo,,,hi,lo,lo,hi,,,,,,,,hi,lo,hi,lo,,,,,,,,
CD4Tcells_Tfh_act,lo,,,hi,lo,lo,hi,,,lo,,,,,hi,lo,hi,lo,,,,hi,,,,
CD4Tcells_Th1_act,lo,,,hi,lo,lo,hi,,,,,,,,hi,lo,hi,lo,,,,lo,,,hi,lo
CD4Tcells_Th2_act,lo,,,hi,lo,lo,hi,,,,,,,,hi,lo,hi,lo,,,,lo,,,lo,lo
CD4Tcells_Th17_act,lo,,,hi,lo,lo,hi,,,,,,,,hi,lo,hi,lo,,,,lo,,,lo,hi
CD4Tcells_Th1Th17_act,lo,,,hi,lo,lo,hi,,,,,,,,hi,lo,hi,lo,,,,lo,,,hi,hi
CD4Tcells_Treg_act,lo,,,hi,lo,lo,hi,,,,,,,,hi,lo,hi,lo,,,,,hi,lo,,
CD4Tcells_Naive_act,lo,,,hi,lo,lo,hi,,,hi,,,hi,,hi,lo,hi,lo,,,hi,,,,,
Tcells_CD4negCD8neg_act,lo,lo,lo,hi,lo,lo,hi,,,,lo,,,,hi,lo,lo,lo,,,,,,,,
CD3hi_CD19hi,lo,,,,,,,,,,hi,,,,hi,,,,,,,,,,,